mode,eta_a,eta_b,status,error,net_work_W,Q_hot_W,Q_cold_W,COP_or_eta,exergetic_efficiency,cycle_isentropic_efficiency,total_exergy_destruction_W
discharge,0.9,0.9,ok,,82853.55366468971,232968.39979849686,-150129.92478920147,0.35564288434119334,0.6223750475970884,0.8664783796039104,50275.795763851704
discharge,0.9,1.0,ok,,93933.99051213282,244047.48405359208,-150129.92478920147,0.38490046671206496,0.6735758167461138,0.982357041896795,45526.86099877678
discharge,1.0,0.9,ok,,84540.59146091953,232153.6746502642,-147628.36778196925,0.3641578863150824,0.6372763010513942,0.8841213377071154,48123.1968855895
discharge,1.0,1.0,ok,,95621.02830836264,243232.75890535966,-147628.36778196925,0.39312561654397954,0.6879698289519642,1.0,43374.26212051448
